tenant_id,record_id,animal_id,date,activity_count,rumination_min,lying_min,temperature_c
default,SN_001_1,DEMO_COW_1001,2025-04-05,4370,505,715,38.6
default,SN_001_2,DEMO_COW_1001,2025-03-29,4330,490,720,38.6
default,SN_001_3,DEMO_COW_1001,2025-03-22,4290,475,725,38.6
default,SN_002_1,DEMO_COW_1002,2025-04-05,4480,505,715,38.7
default,SN_002_2,DEMO_COW_1002,2025-03-29,4440,490,720,38.7
default,SN_002_3,DEMO_COW_1002,2025-03-22,4400,475,725,38.7
default,SN_003_1,DEMO_COW_1003,2025-04-05,4590,505,715,38.8
default,SN_003_2,DEMO_COW_1003,2025-03-29,4550,490,720,38.8
default,SN_003_3,DEMO_COW_1003,2025-03-22,4510,475,725,38.8
default,SN_004_1,DEMO_COW_2001,2025-04-05,4700,505,715,38.5
default,SN_004_2,DEMO_COW_2001,2025-03-29,4660,490,720,38.5
default,SN_004_3,DEMO_COW_2001,2025-03-22,4620,475,725,38.5
default,SN_005_1,DEMO_COW_2002,2025-04-05,4810,505,715,38.6
default,SN_005_2,DEMO_COW_2002,2025-03-29,4770,490,720,38.6
default,SN_005_3,DEMO_COW_2002,2025-03-22,4730,475,725,38.6
default,SN_006_1,DEMO_COW_2003,2025-04-05,4920,505,715,38.7
default,SN_006_2,DEMO_COW_2003,2025-03-29,4880,490,720,38.7
default,SN_006_3,DEMO_COW_2003,2025-03-22,4840,475,725,38.7
default,SN_007_1,DEMO_COW_3001,2025-04-05,5030,505,715,38.8
default,SN_007_2,DEMO_COW_3001,2025-03-29,4990,490,720,38.8
default,SN_007_3,DEMO_COW_3001,2025-03-22,4950,475,725,38.8
default,SN_008_1,DEMO_COW_3002,2025-04-05,5140,505,715,38.5
default,SN_008_2,DEMO_COW_3002,2025-03-29,5100,490,720,38.5
default,SN_008_3,DEMO_COW_3002,2025-03-22,5060,475,725,38.5
default,SN_009_1,DEMO_COW_3003,2025-04-05,5250,505,715,38.6
default,SN_009_2,DEMO_COW_3003,2025-03-29,5210,490,720,38.6
default,SN_009_3,DEMO_COW_3003,2025-03-22,5170,475,725,38.6
