tenant_id,testday_id,animal_id,lactation_id,test_date,dim,milk_kg,fat_pct,protein_pct,scc_cells_ml
default,TD_001_1,DEMO_COW_1001,LAC_DEMO_COW_1001_2,2025-04-05,130,32.6,4.0,3.2,162000
default,TD_001_2,DEMO_COW_1001,LAC_DEMO_COW_1001_2,2025-03-29,140,32.2,4.0,3.2,167000
default,TD_001_3,DEMO_COW_1001,LAC_DEMO_COW_1001_2,2025-03-22,150,31.8,4.0,3.2,172000
default,TD_002_1,DEMO_COW_1002,LAC_DEMO_COW_1002_2,2025-04-05,130,33.7,3.8,3.25,174000
default,TD_002_2,DEMO_COW_1002,LAC_DEMO_COW_1002_2,2025-03-29,140,33.3,3.8,3.25,179000
default,TD_002_3,DEMO_COW_1002,LAC_DEMO_COW_1002_2,2025-03-22,150,32.9,3.8,3.25,184000
default,TD_003_1,DEMO_COW_1003,LAC_DEMO_COW_1003_2,2025-04-05,130,31.4,4.0,3.15,186000
default,TD_003_2,DEMO_COW_1003,LAC_DEMO_COW_1003_2,2025-03-29,140,31.0,4.0,3.15,191000
default,TD_003_3,DEMO_COW_1003,LAC_DEMO_COW_1003_2,2025-03-22,150,30.6,4.0,3.15,196000
default,TD_004_1,DEMO_COW_2001,LAC_DEMO_COW_2001_2,2025-04-05,130,32.3,3.8,3.2,198000
default,TD_004_2,DEMO_COW_2001,LAC_DEMO_COW_2001_2,2025-03-29,140,31.9,3.8,3.2,203000
default,TD_004_3,DEMO_COW_2001,LAC_DEMO_COW_2001_2,2025-03-22,150,31.5,3.8,3.2,208000
default,TD_005_1,DEMO_COW_2002,LAC_DEMO_COW_2002_2,2025-04-05,130,33.5,4.0,3.25,210000
default,TD_005_2,DEMO_COW_2002,LAC_DEMO_COW_2002_2,2025-03-29,140,33.1,4.0,3.25,215000
default,TD_005_3,DEMO_COW_2002,LAC_DEMO_COW_2002_2,2025-03-22,150,32.7,4.0,3.25,220000
default,TD_006_1,DEMO_COW_2003,LAC_DEMO_COW_2003_2,2025-04-05,130,31.1,3.8,3.15,222000
default,TD_006_2,DEMO_COW_2003,LAC_DEMO_COW_2003_2,2025-03-29,140,30.7,3.8,3.15,227000
default,TD_006_3,DEMO_COW_2003,LAC_DEMO_COW_2003_2,2025-03-22,150,30.3,3.8,3.15,232000
default,TD_007_1,DEMO_COW_3001,LAC_DEMO_COW_3001_2,2025-04-05,130,32.5,4.0,3.2,234000
default,TD_007_2,DEMO_COW_3001,LAC_DEMO_COW_3001_2,2025-03-29,140,32.1,4.0,3.2,239000
default,TD_007_3,DEMO_COW_3001,LAC_DEMO_COW_3001_2,2025-03-22,150,31.7,4.0,3.2,244000
default,TD_008_1,DEMO_COW_3002,LAC_DEMO_COW_3002_2,2025-04-05,130,33.6,3.8,3.25,246000
default,TD_008_2,DEMO_COW_3002,LAC_DEMO_COW_3002_2,2025-03-29,140,33.2,3.8,3.25,251000
default,TD_008_3,DEMO_COW_3002,LAC_DEMO_COW_3002_2,2025-03-22,150,32.8,3.8,3.25,256000
default,TD_009_1,DEMO_COW_3003,LAC_DEMO_COW_3003_2,2025-04-05,130,30.8,4.0,3.15,258000
default,TD_009_2,DEMO_COW_3003,LAC_DEMO_COW_3003_2,2025-03-29,140,30.4,4.0,3.15,263000
default,TD_009_3,DEMO_COW_3003,LAC_DEMO_COW_3003_2,2025-03-22,150,30.0,4.0,3.15,268000
