tenant_id,alert_id,animal_id,alert_type,severity,status,dedupe_key,created_at,resolved_at,message
default,AL_00001,4821,open_cow_long,medium,acknowledged,open_cow:4821,2026-05-08,,"DIM=174, нет подтверждённой стельности"
default,AL_00002,3891,recurrent_mastitis,high,new,recurrent_mastitis:3891,2026-05-08,,≥2 эпизода клинического мастита за 90 дней
default,AL_00003,3891,low_yield_drop,medium,new,low_yield:3891,2026-05-07,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00004,3142,low_yield_drop,medium,new,low_yield:3142,2026-05-02,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00005,3001,low_yield_drop,medium,new,low_yield:3001,2026-04-30,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00006,3003,open_cow_long,medium,new,open_cow:3003,2026-05-06,,"DIM=250, нет подтверждённой стельности"
default,AL_00007,3005,open_cow_long,medium,acknowledged,open_cow:3005,2026-05-04,,"DIM=288, нет подтверждённой стельности"
default,AL_00008,3006,low_yield_drop,low,new,low_yield:3006,2026-05-08,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00009,3009,low_yield_drop,low,new,low_yield:3009,2026-04-30,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00010,3010,open_cow_long,medium,acknowledged,open_cow:3010,2026-05-07,,"DIM=277, нет подтверждённой стельности"
default,AL_00011,3015,open_cow_long,medium,new,open_cow:3015,2026-05-02,,"DIM=152, нет подтверждённой стельности"
default,AL_00012,3023,open_cow_long,medium,new,open_cow:3023,2026-05-04,,"DIM=242, нет подтверждённой стельности"
default,AL_00013,3024,open_cow_long,medium,acknowledged,open_cow:3024,2026-05-06,,"DIM=413, нет подтверждённой стельности"
default,AL_00014,3027,lameness,medium,new,lameness:3027,2026-05-04,,"Зарегистрирован эпизод хромоты, требуется осмотр"
default,AL_00015,3028,open_cow_long,medium,acknowledged,open_cow:3028,2026-05-08,,"DIM=173, нет подтверждённой стельности"
default,AL_00016,3029,open_cow_long,medium,new,open_cow:3029,2026-05-06,,"DIM=232, нет подтверждённой стельности"
default,AL_00017,3033,open_cow_long,medium,new,open_cow:3033,2026-05-04,,"DIM=226, нет подтверждённой стельности"
default,AL_00018,3034,open_cow_long,medium,acknowledged,open_cow:3034,2026-05-08,,"DIM=173, нет подтверждённой стельности"
default,AL_00019,3034,low_yield_drop,medium,new,low_yield:3034,2026-04-30,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00020,3035,open_cow_long,medium,acknowledged,open_cow:3035,2026-05-07,,"DIM=315, нет подтверждённой стельности"
default,AL_00021,3037,low_yield_drop,low,new,low_yield:3037,2026-04-29,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00022,3038,lameness,medium,new,lameness:3038,2026-05-08,,"Зарегистрирован эпизод хромоты, требуется осмотр"
default,AL_00023,3044,open_cow_long,medium,acknowledged,open_cow:3044,2026-05-02,,"DIM=332, нет подтверждённой стельности"
default,AL_00024,3048,open_cow_long,medium,acknowledged,open_cow:3048,2026-05-04,,"DIM=240, нет подтверждённой стельности"
default,AL_00025,3049,low_yield_drop,low,new,low_yield:3049,2026-05-05,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00026,3051,lameness,medium,new,lameness:3051,2026-05-08,,"Зарегистрирован эпизод хромоты, требуется осмотр"
default,AL_00027,3052,open_cow_long,medium,acknowledged,open_cow:3052,2026-05-07,,"DIM=322, нет подтверждённой стельности"
default,AL_00028,3053,low_yield_drop,low,new,low_yield:3053,2026-05-01,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00029,3055,open_cow_long,medium,new,open_cow:3055,2026-05-02,,"DIM=305, нет подтверждённой стельности"
default,AL_00030,3055,low_yield_drop,low,new,low_yield:3055,2026-05-03,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00031,3060,open_cow_long,medium,acknowledged,open_cow:3060,2026-05-06,,"DIM=187, нет подтверждённой стельности"
default,AL_00032,3062,open_cow_long,medium,acknowledged,open_cow:3062,2026-05-05,,"DIM=160, нет подтверждённой стельности"
default,AL_00033,3063,open_cow_long,medium,new,open_cow:3063,2026-05-02,,"DIM=178, нет подтверждённой стельности"
default,AL_00034,3066,open_cow_long,medium,acknowledged,open_cow:3066,2026-05-05,,"DIM=207, нет подтверждённой стельности"
default,AL_00035,3069,open_cow_long,medium,acknowledged,open_cow:3069,2026-05-06,,"DIM=254, нет подтверждённой стельности"
default,AL_00036,3070,low_yield_drop,low,new,low_yield:3070,2026-05-02,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00037,3071,open_cow_long,medium,acknowledged,open_cow:3071,2026-05-08,,"DIM=334, нет подтверждённой стельности"
default,AL_00038,3074,open_cow_long,medium,new,open_cow:3074,2026-05-04,,"DIM=216, нет подтверждённой стельности"
default,AL_00039,3077,low_yield_drop,medium,new,low_yield:3077,2026-05-06,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00040,3082,open_cow_long,medium,acknowledged,open_cow:3082,2026-05-06,,"DIM=179, нет подтверждённой стельности"
default,AL_00041,3083,open_cow_long,medium,acknowledged,open_cow:3083,2026-05-07,,"DIM=171, нет подтверждённой стельности"
default,AL_00042,3085,open_cow_long,medium,acknowledged,open_cow:3085,2026-05-04,,"DIM=347, нет подтверждённой стельности"
default,AL_00043,3086,open_cow_long,medium,acknowledged,open_cow:3086,2026-05-02,,"DIM=188, нет подтверждённой стельности"
default,AL_00044,3087,low_yield_drop,medium,new,low_yield:3087,2026-04-29,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00045,3090,open_cow_long,medium,acknowledged,open_cow:3090,2026-05-07,,"DIM=171, нет подтверждённой стельности"
default,AL_00046,3093,open_cow_long,medium,new,open_cow:3093,2026-05-03,,"DIM=252, нет подтверждённой стельности"
default,AL_00047,3098,open_cow_long,medium,acknowledged,open_cow:3098,2026-05-05,,"DIM=219, нет подтверждённой стельности"
default,AL_00048,3103,open_cow_long,medium,new,open_cow:3103,2026-05-03,,"DIM=364, нет подтверждённой стельности"
default,AL_00049,3105,open_cow_long,medium,new,open_cow:3105,2026-05-07,,"DIM=312, нет подтверждённой стельности"
default,AL_00050,3106,open_cow_long,medium,new,open_cow:3106,2026-05-08,,"DIM=175, нет подтверждённой стельности"
default,AL_00051,3106,low_yield_drop,medium,new,low_yield:3106,2026-04-29,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00052,3108,open_cow_long,medium,acknowledged,open_cow:3108,2026-05-05,,"DIM=220, нет подтверждённой стельности"
default,AL_00053,3111,open_cow_long,medium,acknowledged,open_cow:3111,2026-05-06,,"DIM=212, нет подтверждённой стельности"
default,AL_00054,3114,open_cow_long,medium,new,open_cow:3114,2026-05-05,,"DIM=321, нет подтверждённой стельности"
default,AL_00055,3116,low_yield_drop,low,new,low_yield:3116,2026-05-02,,Падение надоя >15% за 7 дней относительно baseline
default,AL_00056,3118,open_cow_long,medium,new,open_cow:3118,2026-05-03,,"DIM=415, нет подтверждённой стельности"
