tenant_id,farm_id,date,n_lactating,avg_milk_kg_per_cow,total_milk_kg,milk_revenue_rub,feed_cost_rub,vet_cost_rub,gross_margin_rub
default,INV_FARM_001,2025-05-10,304,25.6,7779.0,233370.0,93348.0,3364.0,136658.0
default,INV_FARM_001,2025-05-11,299,25.0,7472.7,224181.0,89672.0,1523.0,132986.0
default,INV_FARM_001,2025-05-12,292,27.8,8119.2,243576.0,97430.0,3340.0,142806.0
default,INV_FARM_001,2025-05-13,292,25.1,7323.9,219717.0,87887.0,2480.0,129350.0
default,INV_FARM_001,2025-05-14,291,25.0,7284.9,218547.0,87419.0,2642.0,128486.0
default,INV_FARM_001,2025-05-15,309,28.5,8819.7,264591.0,105836.0,1016.0,157739.0
default,INV_FARM_001,2025-05-16,308,24.7,7621.1,228633.0,91453.0,2860.0,134320.0
default,INV_FARM_001,2025-05-17,301,29.2,8795.0,263850.0,105540.0,2730.0,155580.0
default,INV_FARM_001,2025-05-18,313,25.4,7941.1,238233.0,95293.0,2492.0,140448.0
default,INV_FARM_001,2025-05-19,291,26.9,7816.4,234492.0,93797.0,2253.0,138442.0
default,INV_FARM_001,2025-05-20,294,24.3,7134.8,214044.0,85618.0,867.0,127559.0
default,INV_FARM_001,2025-05-21,310,28.8,8926.8,267804.0,107122.0,3484.0,157198.0
default,INV_FARM_001,2025-05-22,309,27.8,8602.7,258081.0,103232.0,4366.0,150483.0
default,INV_FARM_001,2025-05-23,301,28.0,8423.1,252693.0,101077.0,3942.0,147674.0
default,INV_FARM_001,2025-05-24,311,23.8,7396.8,221904.0,88762.0,1369.0,131773.0
default,INV_FARM_001,2025-05-25,299,25.6,7661.1,229833.0,91933.0,2356.0,135544.0
default,INV_FARM_001,2025-05-26,295,24.4,7187.9,215637.0,86255.0,1334.0,128048.0
default,INV_FARM_001,2025-05-27,286,27.2,7785.8,233574.0,93430.0,3368.0,136776.0
