tenant_id,event_id,animal_id,event_date,event_type,severity,notes
default,EV_4821_MAST_01,4821,2026-03-10,mastitis,medium,
default,EV_3891_MAST_01,3891,2026-02-20,mastitis,high,
default,EV_3891_MAST_02,3891,2026-03-22,mastitis,high,
default,EV_3002_MAST_01,3002,2026-02-10,mastitis,high,
default,EV_3010_MAST_01,3010,2026-04-07,mastitis,high,
default,EV_3016_LAM_01,3016,2026-03-28,lameness,medium,
default,EV_3017_LAM_01,3017,2026-03-29,lameness,high,
default,EV_3023_MAST_01,3023,2025-11-10,mastitis,high,
default,EV_3028_LAM_01,3028,2026-01-23,lameness,medium,
default,EV_3032_MAST_01,3032,2025-11-27,mastitis,medium,
default,EV_3033_LAM_01,3033,2026-03-15,lameness,high,
default,EV_3034_MAST_01,3034,2025-12-13,mastitis,medium,
default,EV_3035_LAM_01,3035,2026-03-25,lameness,medium,
default,EV_3044_MAST_01,3044,2026-01-25,mastitis,medium,
default,EV_3050_LAM_01,3050,2025-12-26,lameness,high,
default,EV_3063_MAST_01,3063,2026-04-07,mastitis,medium,
default,EV_3069_LAM_01,3069,2025-12-07,lameness,medium,
default,EV_3070_MAST_01,3070,2026-03-15,mastitis,high,
default,EV_3077_MAST_01,3077,2026-04-01,mastitis,medium,
default,EV_3103_LAM_01,3103,2025-11-14,lameness,medium,
default,EV_3105_MAST_01,3105,2025-12-28,mastitis,high,
default,EV_3108_LAM_01,3108,2025-12-06,lameness,medium,
default,EV_3113_MAST_01,3113,2026-01-16,mastitis,medium,
default,EV_3118_MAST_01,3118,2026-03-13,mastitis,high,
default,EV_3136_LAM_01,3136,2026-03-29,lameness,medium,
default,EV_3140_KET_01,3140,2026-04-13,ketosis,medium,
default,EV_3152_LAM_01,3152,2026-03-07,lameness,medium,
default,EV_3153_MAST_01,3153,2025-12-16,mastitis,high,
default,EV_3157_MAST_01,3157,2026-03-17,mastitis,high,
default,EV_3160_MAST_01,3160,2026-01-25,mastitis,medium,
default,EV_3170_MAST_01,3170,2025-11-05,mastitis,high,
default,EV_3177_LAM_01,3177,2026-02-13,lameness,medium,
default,EV_3182_LAM_01,3182,2026-03-16,lameness,medium,
default,EV_3185_KET_01,3185,2026-04-19,ketosis,medium,
default,EV_3187_MAST_01,3187,2025-11-12,mastitis,high,
default,EV_3193_LAM_01,3193,2026-04-06,lameness,high,
default,EV_3199_MAST_01,3199,2026-04-03,mastitis,high,
default,EV_3210_MAST_01,3210,2025-12-01,mastitis,high,
default,EV_3211_LAM_01,3211,2026-02-09,lameness,high,
default,EV_3224_MAST_01,3224,2026-02-01,mastitis,medium,
default,EV_3240_MAST_01,3240,2026-01-26,mastitis,high,
default,EV_3243_MAST_01,3243,2025-12-16,mastitis,high,
default,EV_3246_MAST_01,3246,2026-03-05,mastitis,high,
default,EV_3247_LAM_01,3247,2026-03-21,lameness,high,
default,EV_3263_MAST_01,3263,2026-01-06,mastitis,high,
default,EV_3264_MAST_01,3264,2026-01-16,mastitis,high,
default,EV_3268_MAST_01,3268,2026-02-28,mastitis,medium,
default,EV_3273_KET_01,3273,2026-04-18,ketosis,medium,
default,EV_3289_MAST_01,3289,2026-02-21,mastitis,high,
default,EV_3300_MAST_01,3300,2026-03-17,mastitis,medium,
default,EV_3305_LAM_01,3305,2026-03-09,lameness,high,
default,EV_3307_MAST_01,3307,2026-03-29,mastitis,medium,
default,EV_3309_MAST_01,3309,2026-04-09,mastitis,high,
default,EV_3317_MAST_01,3317,2025-11-19,mastitis,high,
default,EV_3318_LAM_01,3318,2025-11-18,lameness,medium,
default,EV_3327_LAM_01,3327,2025-11-13,lameness,medium,
default,EV_3328_MAST_01,3328,2026-03-13,mastitis,high,
default,EV_3333_LAM_01,3333,2026-03-14,lameness,high,
default,EV_3334_MAST_01,3334,2026-01-01,mastitis,medium,
default,EV_3346_LAM_01,3346,2026-03-03,lameness,high,
default,EV_3347_MAST_01,3347,2025-12-14,mastitis,medium,
