tenant_id,move_id,animal_id,move_date,from_pen,to_pen,reason
default,PM_000001,4821,2025-11-16,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000002,4821,2025-12-07,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000003,4821,2026-03-16,P_HIGH_PRO,P_MID_PRO,yield_decline
default,PM_000004,3891,2025-07-10,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000005,3891,2025-07-31,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000006,3891,2025-11-07,P_HIGH_PRO,P_MID_PRO,yield_decline
default,PM_000007,3142,2026-03-07,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000008,3142,2026-03-28,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000009,3000,2025-04-01,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000010,3000,2025-04-22,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000011,3000,2025-07-30,P_HIGH_PRO,P_MID_PRO,yield_decline
default,PM_000012,3001,2026-04-15,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000013,3001,2026-05-06,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000014,3002,2026-01-02,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000015,3002,2026-01-23,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000016,3003,2025-09-01,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000017,3003,2025-09-22,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000018,3003,2025-12-30,P_HIGH_PRO,P_MID_PRO,yield_decline
default,PM_000019,3004,2025-04-11,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000020,3004,2025-05-02,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000021,3004,2025-08-09,P_HIGH_PRO,P_MID_PRO,yield_decline
default,PM_000022,3005,2025-07-25,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000023,3005,2025-08-15,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000024,3005,2025-11-22,P_HIGH_PRO,P_MID_PRO,yield_decline
default,PM_000025,3006,2025-10-29,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000026,3006,2025-11-19,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000027,3006,2026-02-26,P_HIGH_PRO,P_MID_PRO,yield_decline
default,PM_000028,3007,2026-01-26,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000029,3007,2026-02-16,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000030,3008,2026-04-20,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000031,3008,2026-05-11,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000032,3009,2026-04-07,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000033,3009,2026-04-28,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000034,3010,2025-08-05,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000035,3010,2025-08-26,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000036,3010,2025-12-03,P_HIGH_PRO,P_MID_PRO,yield_decline
default,PM_000037,3011,2026-03-30,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000038,3011,2026-04-20,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000039,3012,2026-02-16,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000040,3012,2026-03-09,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000041,3013,2026-03-17,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000042,3013,2026-04-07,P_FRESH,P_HIGH_PRO,lactation_curve_progression
default,PM_000043,3014,2026-01-15,P_DRY_CLOSE_UP,P_FRESH,post_calving
default,PM_000044,3014,2026-02-05,P_FRESH,P_HIGH_PRO,lactation_curve_progression
