tenant_id,event_id,animal_id,event_date,event_type,result,notes
default,RE_4821_CALV_3,4821,2025-11-16,calving,assisted,
default,RE_4821_HEAT_20260205,4821,2026-02-04,heat,detected,
default,RE_4821_INS_20260205,4821,2026-02-05,insemination,open,method=AI bull=Витязь
default,RE_4821_PREGCK_20260205,4821,2026-03-12,preg_check,open,
default,RE_3891_CALV_3,3891,2025-07-10,calving,normal,
default,RE_3891_HEAT_20250923,3891,2025-09-22,heat,detected,
default,RE_3891_INS_20250923,3891,2025-09-23,insemination,pregnant,method=AI bull=Граф
default,RE_3891_PREGCK_20250923,3891,2025-10-28,preg_check,pregnant,
default,RE_3142_CALV_2,3142,2026-03-07,calving,normal,
default,RE_3000_CALV_1,3000,2025-04-01,calving,normal,
default,RE_3000_HEAT_20250607,3000,2025-06-06,heat,detected,
default,RE_3000_INS_20250607,3000,2025-06-07,insemination,pregnant,method=natural bull=stockyard_bull_01
default,RE_3000_PREGCK_20250607,3000,2025-07-12,preg_check,pregnant,
default,RE_3000_DRY_1,3000,2026-01-31,dryoff,completed,
default,RE_3001_CALV_1,3001,2026-04-15,calving,normal,
default,RE_3002_CALV_3,3002,2026-01-02,calving,normal,
default,RE_3002_HEAT_20260312,3002,2026-03-11,heat,detected,
default,RE_3002_INS_20260312,3002,2026-03-12,insemination,pregnant,method=AI bull=Ильич
default,RE_3002_PREGCK_20260312,3002,2026-04-16,preg_check,pregnant,
default,RE_3003_CALV_4,3003,2025-09-01,calving,normal,
default,RE_3003_HEAT_20251105,3003,2025-11-04,heat,missed,
default,RE_3003_INS_20251105,3003,2025-11-05,insemination,open,method=AI bull=Зевс
default,RE_3003_PREGCK_20251105,3003,2025-12-10,preg_check,open,
default,RE_3004_CALV_2,3004,2025-04-11,calving,normal,
default,RE_3004_HEAT_20250726,3004,2025-07-25,heat,detected,
default,RE_3004_INS_20250726,3004,2025-07-26,insemination,pregnant,method=AI bull=Зорро
default,RE_3004_PREGCK_20250726,3004,2025-08-30,preg_check,pregnant,
default,RE_3004_DRY_2,3004,2026-02-10,dryoff,completed,
default,RE_3005_CALV_1,3005,2025-07-25,calving,normal,
default,RE_3005_HEAT_20251101,3005,2025-10-31,heat,detected,
default,RE_3005_INS_20251101,3005,2025-11-01,insemination,open,method=natural bull=stockyard_bull_01
default,RE_3005_PREGCK_20251101,3005,2025-12-06,preg_check,open,
default,RE_3006_CALV_3,3006,2025-10-29,calving,assisted,
default,RE_3006_HEAT_20260103,3006,2026-01-02,heat,detected,
default,RE_3006_INS_20260103,3006,2026-01-03,insemination,pregnant,method=AI bull=Ермак
