animal_id,date,activity_count,rumination_min,lying_min,temperature_c
4821,2025-09-02,4560.9,504.3,702.7,38.61
4821,2025-09-03,4292.0,519.6,717.0,38.26
4821,2025-09-04,4650.1,503.3,716.9,38.42
4821,2025-09-05,4688.1,493.8,727.7,38.33
4821,2025-09-06,4109.8,516.6,740.0,38.42
4821,2025-09-07,4239.6,506.4,698.8,38.52
4821,2025-09-08,4525.6,523.0,717.5,38.48
4821,2025-09-09,4436.8,502.7,749.6,38.47
4821,2025-09-10,4496.6,481.6,705.1,38.48
4821,2025-09-11,4329.4,479.5,703.6,38.52
4821,2025-09-12,4675.9,524.8,724.0,38.4
4821,2025-09-13,4655.6,525.9,736.9,38.57
4821,2025-09-14,4513.2,497.3,720.2,38.57
4821,2025-09-15,4725.4,494.3,746.6,38.54
4821,2025-09-16,4593.5,521.9,737.1,38.56
4821,2025-09-17,4328.1,483.4,736.8,38.53
4821,2025-09-18,4573.8,486.6,731.1,38.7
4821,2025-09-19,4308.2,509.6,766.6,38.49
4821,2025-09-20,4675.7,494.1,715.9,38.47
4821,2025-09-21,4490.0,499.9,679.9,38.42
4821,2025-09-22,4463.0,497.5,752.1,38.4
4821,2025-09-23,4363.8,505.1,710.8,38.38
4821,2025-09-24,4744.5,521.1,722.2,38.41
4821,2025-09-25,4469.1,501.4,746.2,38.49
4821,2025-09-26,4414.3,509.7,688.0,38.53
4821,2025-09-27,4429.6,469.2,695.0,38.51
4821,2025-09-28,4606.5,499.3,688.0,38.42
4821,2025-09-29,4573.1,487.4,704.1,38.59
4821,2025-09-30,4582.5,481.7,728.8,38.57
4821,2025-10-01,4586.2,486.8,730.5,38.48
4821,2025-10-02,4928.3,495.0,725.5,38.43
4821,2025-10-03,4418.7,513.7,691.7,38.55
4821,2025-10-04,4397.6,480.1,673.8,38.52
4821,2025-10-05,4337.2,500.5,721.1,38.36
4821,2025-10-06,4623.2,492.7,710.6,38.49
4821,2025-10-07,4725.8,495.1,729.2,38.53
4821,2025-10-08,4477.2,515.0,734.0,38.41
4821,2025-10-09,4332.0,508.1,722.8,38.52
4821,2025-10-10,4335.1,520.1,735.2,38.35
4821,2025-10-11,4630.1,497.7,724.6,38.63
4821,2025-10-12,4648.7,489.6,730.6,38.62
4821,2025-10-13,4608.6,496.6,705.9,38.47
4821,2025-10-14,4366.9,503.6,716.4,38.54
4821,2025-10-15,4546.4,502.6,723.9,38.26
4821,2025-10-16,4523.3,483.7,736.4,38.38
4821,2025-10-17,4543.7,501.4,712.1,38.47
4821,2025-10-18,4674.3,503.4,730.4,38.39
4821,2025-10-19,4544.7,537.8,714.7,38.57
4821,2025-10-20,4635.8,528.2,717.6,38.7
4821,2025-10-21,4513.5,487.2,736.6,38.38
