tenant_id,animal_id,test_date,milk_kg,fat_pct,protein_pct,scc_cells_ml
default,4821,2026-05-05,31.56,3.56,3.37,137610
default,4821,2026-04-05,33.96,3.73,3.2,517666
default,4821,2026-03-05,29.91,3.53,3.17,80000
default,4821,2026-02-05,47.59,4.06,3.18,161180
default,4821,2026-01-05,30.96,3.95,3.19,193420
default,4821,2025-12-05,28.71,3.52,3.39,379961
default,3891,2026-05-05,38.49,3.98,3.38,80000
default,3891,2026-04-05,41.61,4.01,3.08,80000
default,3891,2026-03-05,28.84,3.67,3.01,551380
default,3891,2026-02-05,34.61,3.78,3.09,140652
default,3891,2026-01-05,22.33,3.77,3.04,167236
default,3891,2025-12-05,25.24,3.58,3.19,581494
default,3142,2026-05-05,42.94,3.87,3.25,80000
default,3142,2026-04-05,41.41,3.96,3.35,315663
default,3142,2026-03-05,39.79,3.82,3.26,85012
default,3142,2026-02-05,23.64,3.78,3.09,187097
default,3142,2026-01-05,37.97,3.81,3.29,237604
default,3142,2025-12-05,40.6,3.56,3.01,216693
default,3000,2026-05-05,36.16,3.8,3.07,212713
default,3000,2026-04-05,38.64,3.65,3.28,204137
default,3000,2026-03-05,41.81,3.92,3.29,242952
default,3000,2026-02-05,34.01,3.66,3.2,343000
default,3000,2026-01-05,31.8,3.55,3.01,165902
default,3000,2025-12-05,40.01,3.68,3.26,469547
default,3001,2026-05-05,36.59,3.81,3.05,665887
default,3001,2026-04-05,38.41,3.88,3.2,377786
default,3001,2026-03-05,27.07,3.51,3.06,292796
default,3001,2026-02-05,33.06,3.56,3.12,362957
default,3001,2026-01-05,42.11,3.67,3.14,329266
default,3001,2025-12-05,32.82,3.67,3.02,149572
default,3002,2026-05-05,29.51,3.73,3.06,215818
default,3002,2026-04-05,49.24,3.87,3.21,195070
default,3002,2026-03-05,31.83,3.59,3.32,80000
default,3002,2026-02-05,28.88,3.99,3.08,539574
default,3002,2026-01-05,43.11,3.88,3.17,144504
default,3002,2025-12-05,26.68,3.56,3.35,212659
default,3003,2026-05-05,35.63,3.86,3.39,622077
default,3003,2026-04-05,29.23,3.53,3.23,132496
default,3003,2026-03-05,33.23,4.07,3.1,293557
default,3003,2026-02-05,41.54,4.06,3.38,535104
default,3003,2026-01-05,25.51,3.73,3.22,296675
default,3003,2025-12-05,31.96,3.6,3.01,270760
default,3004,2026-05-05,33.15,3.93,3.36,230611
default,3004,2026-04-05,28.86,3.5,3.4,481031
default,3004,2026-03-05,50.82,3.57,3.0,306608
default,3004,2026-02-05,43.54,3.8,3.08,746577
default,3004,2026-01-05,35.44,3.64,3.33,287762
default,3004,2025-12-05,39.38,4.09,3.35,167408
default,3005,2026-05-05,32.41,3.87,3.23,333351
default,3005,2026-04-05,43.42,3.86,3.16,369897
default,3005,2026-03-05,44.2,3.66,3.1,197739
default,3005,2026-02-05,29.86,4.02,3.01,440450
default,3005,2026-01-05,29.16,3.63,3.09,517483
default,3005,2025-12-05,45.04,3.52,3.22,80000
default,3006,2026-05-05,46.24,3.74,3.08,113840
default,3006,2026-04-05,28.12,3.64,3.26,501899
default,3006,2026-03-05,39.32,3.75,3.06,236591
default,3006,2026-02-05,35.17,3.99,3.25,331341
default,3006,2026-01-05,32.41,3.59,3.12,236161
default,3006,2025-12-05,27.12,3.53,3.39,101501
default,3007,2026-05-05,33.11,4.09,3.18,313602
default,3007,2026-04-05,43.15,3.58,3.14,430018
default,3007,2026-03-05,30.09,3.77,3.17,80000
default,3007,2026-02-05,46.01,3.88,3.18,330259
default,3007,2026-01-05,42.51,3.82,3.33,427911
default,3007,2025-12-05,37.5,3.57,3.23,260055
default,3008,2026-05-05,38.08,3.92,3.3,419547
default,3008,2026-04-05,36.27,3.81,3.14,569263
default,3008,2026-03-05,44.8,3.91,3.03,80000
default,3008,2026-02-05,24.66,3.91,3.14,650245
default,3008,2026-01-05,45.18,3.88,3.22,260787
default,3008,2025-12-05,34.82,3.87,3.05,672505
default,3009,2026-05-05,43.25,3.78,3.1,537937
default,3009,2026-04-05,28.22,3.81,3.08,273453
default,3009,2026-03-05,30.84,4.02,3.04,195804
default,3009,2026-02-05,34.92,3.77,3.29,241207
default,3009,2026-01-05,24.92,3.8,3.38,173025
default,3009,2025-12-05,37.74,4.07,3.18,352926
default,3010,2026-05-05,29.03,3.72,3.38,107159
default,3010,2026-04-05,29.89,3.71,3.03,486100
default,3010,2026-03-05,30.88,3.78,3.21,603591
default,3010,2026-02-05,31.77,3.57,3.12,347407
default,3010,2026-01-05,36.91,3.56,3.12,199977
default,3010,2025-12-05,24.85,4.08,3.05,240976
default,3011,2026-05-05,40.98,3.78,3.29,280047
default,3011,2026-04-05,46.52,4.02,3.2,517023
default,3011,2026-03-05,51.0,3.68,3.22,273137
default,3011,2026-02-05,49.35,3.69,3.11,143688
default,3011,2026-01-05,50.83,3.94,3.21,407417
default,3011,2025-12-05,50.59,3.54,3.17,261432
default,3012,2026-05-05,47.74,3.89,3.3,398322
default,3012,2026-04-05,47.89,4.01,3.24,131204
default,3012,2026-03-05,31.68,3.67,3.05,295409
default,3012,2026-02-05,31.91,3.71,3.28,170977
default,3012,2026-01-05,34.3,3.51,3.38,415960
default,3012,2025-12-05,44.85,3.91,3.11,439368
default,3013,2026-05-05,47.79,3.65,3.28,670941
default,3013,2026-04-05,40.96,3.82,3.34,422568
default,3013,2026-03-05,33.56,3.76,3.31,80000
default,3013,2026-02-05,40.08,3.7,3.38,235417
default,3013,2026-01-05,30.18,3.57,3.05,143296
default,3013,2025-12-05,46.52,3.57,3.29,80000
default,3014,2026-05-05,42.04,3.78,3.24,80000
default,3014,2026-04-05,38.75,3.72,3.32,106465
default,3014,2026-03-05,33.35,3.93,3.06,374572
default,3014,2026-02-05,42.22,3.85,3.4,100243
default,3014,2026-01-05,31.96,3.82,3.22,386086
default,3014,2025-12-05,32.98,3.85,3.29,447252
default,3015,2026-05-05,42.6,3.54,3.17,199437
default,3015,2026-04-05,28.46,3.54,3.04,86117
default,3015,2026-03-05,43.94,3.72,3.01,441387
default,3015,2026-02-05,41.6,3.66,3.19,80000
default,3015,2026-01-05,24.25,3.72,3.33,201547
default,3015,2025-12-05,30.04,4.09,3.18,526085
default,3016,2026-05-05,42.4,3.59,3.16,282591
default,3016,2026-04-05,28.49,3.82,3.32,284975
default,3016,2026-03-05,32.19,3.94,3.36,228009
default,3016,2026-02-05,37.1,3.95,3.09,170288
default,3016,2026-01-05,33.47,3.5,3.15,374863
default,3016,2025-12-05,35.48,3.56,3.18,486456
default,3017,2026-05-05,41.93,3.87,3.24,80000
default,3017,2026-04-05,30.88,3.85,3.16,80000
default,3017,2026-03-05,31.13,4.04,3.12,329364
default,3017,2026-02-05,42.64,4.07,3.25,259794
default,3017,2026-01-05,47.4,3.74,3.17,260236
default,3017,2025-12-05,32.79,3.88,3.34,501396
default,3018,2026-05-05,38.53,3.92,3.02,310245
default,3018,2026-04-05,40.37,4.1,3.03,470403
default,3018,2026-03-05,30.0,3.92,3.3,430224
default,3018,2026-02-05,34.29,3.53,3.12,278363
default,3018,2026-01-05,28.04,3.97,3.21,319525
default,3018,2025-12-05,51.52,3.83,3.25,457044
default,3019,2026-05-05,40.33,3.67,3.31,571030
default,3019,2026-04-05,26.6,4.05,3.3,99215
default,3019,2026-03-05,29.67,3.9,3.01,105223
default,3019,2026-02-05,47.67,3.8,3.36,820305
default,3019,2026-01-05,38.86,3.82,3.31,243175
default,3019,2025-12-05,42.32,3.69,3.21,316961
default,3020,2026-05-05,24.4,3.77,3.34,599625
default,3020,2026-04-05,32.94,4.02,3.01,213475
default,3020,2026-03-05,36.26,3.86,3.25,283713
default,3020,2026-02-05,41.36,3.55,3.4,375307
default,3020,2026-01-05,30.24,4.07,3.19,80000
default,3020,2025-12-05,37.01,3.92,3.04,328831
default,3021,2026-05-05,27.9,3.64,3.35,241300
default,3021,2026-04-05,36.96,3.7,3.01,266232
default,3021,2026-03-05,31.88,3.56,3.2,331327
default,3021,2026-02-05,32.87,3.87,3.11,229186
default,3021,2026-01-05,37.09,3.88,3.29,369118
default,3021,2025-12-05,40.16,3.68,3.08,529223
default,3022,2026-05-05,41.65,3.99,3.25,80000
default,3022,2026-04-05,44.66,3.73,3.09,390433
default,3022,2026-03-05,40.19,4.06,3.07,239161
default,3022,2026-02-05,30.51,3.9,3.17,445986
default,3022,2026-01-05,30.77,4.04,3.22,218774
default,3022,2025-12-05,49.32,3.52,3.3,195777
default,3023,2026-05-05,32.39,3.5,3.15,480746
default,3023,2026-04-05,40.86,3.67,3.14,221404
default,3023,2026-03-05,49.27,4.03,3.17,562338
default,3023,2026-02-05,43.51,3.9,3.38,451743
default,3023,2026-01-05,37.83,4.05,3.32,363877
default,3023,2025-12-05,26.43,3.97,3.05,253765
default,3024,2026-05-05,35.15,3.86,3.18,248344
default,3024,2026-04-05,38.59,3.66,3.2,80000
default,3024,2026-03-05,40.87,3.56,3.21,80000
