tenant_id,treatment_id,animal_id,start_date,end_date,treatment_type,reason_event_id,withdrawal_end_date
default,TR_4821_MAST_01,4821,2026-03-10,2026-03-13,mastitis_protocol,EV_4821_MAST_01,2026-03-18
default,TR_3891_MAST_01,3891,2026-02-20,2026-02-24,mastitis_protocol,EV_3891_MAST_01,2026-02-27
default,TR_3891_MAST_02,3891,2026-03-22,2026-03-26,mastitis_protocol,EV_3891_MAST_02,2026-03-31
default,TR_3002_MAST_01,3002,2026-02-10,2026-02-15,mastitis_protocol,EV_3002_MAST_01,2026-02-18
default,TR_3010_MAST_01,3010,2026-04-07,2026-04-11,mastitis_protocol,EV_3010_MAST_01,2026-04-14
default,TR_3016_LAM_01,3016,2026-03-28,2026-03-31,lameness_protocol,EV_3016_LAM_01,2026-04-03
default,TR_3017_LAM_01,3017,2026-03-29,2026-04-01,lameness_protocol,EV_3017_LAM_01,2026-04-04
default,TR_3023_MAST_01,3023,2025-11-10,2025-11-13,mastitis_protocol,EV_3023_MAST_01,2025-11-16
default,TR_3028_LAM_01,3028,2026-01-23,2026-01-26,lameness_protocol,EV_3028_LAM_01,2026-01-29
default,TR_3032_MAST_01,3032,2025-11-27,2025-11-30,mastitis_protocol,EV_3032_MAST_01,2025-12-03
default,TR_3033_LAM_01,3033,2026-03-15,2026-03-18,lameness_protocol,EV_3033_LAM_01,2026-03-21
default,TR_3034_MAST_01,3034,2025-12-13,2025-12-16,mastitis_protocol,EV_3034_MAST_01,2025-12-19
default,TR_3035_LAM_01,3035,2026-03-25,2026-03-28,lameness_protocol,EV_3035_LAM_01,2026-03-31
default,TR_3044_MAST_01,3044,2026-01-25,2026-01-28,mastitis_protocol,EV_3044_MAST_01,2026-01-31
default,TR_3050_LAM_01,3050,2025-12-26,2025-12-29,lameness_protocol,EV_3050_LAM_01,2026-01-01
default,TR_3063_MAST_01,3063,2026-04-07,2026-04-10,mastitis_protocol,EV_3063_MAST_01,2026-04-13
default,TR_3069_LAM_01,3069,2025-12-07,2025-12-10,lameness_protocol,EV_3069_LAM_01,2025-12-13
default,TR_3070_MAST_01,3070,2026-03-15,2026-03-19,mastitis_protocol,EV_3070_MAST_01,2026-03-22
default,TR_3077_MAST_01,3077,2026-04-01,2026-04-04,mastitis_protocol,EV_3077_MAST_01,2026-04-07
default,TR_3103_LAM_01,3103,2025-11-14,2025-11-17,lameness_protocol,EV_3103_LAM_01,2025-11-20
default,TR_3105_MAST_01,3105,2025-12-28,2025-12-31,mastitis_protocol,EV_3105_MAST_01,2026-01-03
default,TR_3108_LAM_01,3108,2025-12-06,2025-12-09,lameness_protocol,EV_3108_LAM_01,2025-12-12
default,TR_3113_MAST_01,3113,2026-01-16,2026-01-21,mastitis_protocol,EV_3113_MAST_01,2026-01-24
default,TR_3118_MAST_01,3118,2026-03-13,2026-03-16,mastitis_protocol,EV_3118_MAST_01,2026-03-19
default,TR_3136_LAM_01,3136,2026-03-29,2026-04-01,lameness_protocol,EV_3136_LAM_01,2026-04-04
default,TR_3140_KET_01,3140,2026-04-13,2026-04-16,ketosis_protocol,EV_3140_KET_01,2026-04-13
default,TR_3152_LAM_01,3152,2026-03-07,2026-03-10,lameness_protocol,EV_3152_LAM_01,2026-03-13
default,TR_3153_MAST_01,3153,2025-12-16,2025-12-19,mastitis_protocol,EV_3153_MAST_01,2025-12-22
default,TR_3157_MAST_01,3157,2026-03-17,2026-03-21,mastitis_protocol,EV_3157_MAST_01,2026-03-24
default,TR_3160_MAST_01,3160,2026-01-25,2026-01-30,mastitis_protocol,EV_3160_MAST_01,2026-02-02
default,TR_3170_MAST_01,3170,2025-11-05,2025-11-10,mastitis_protocol,EV_3170_MAST_01,2025-11-13
default,TR_3177_LAM_01,3177,2026-02-13,2026-02-16,lameness_protocol,EV_3177_LAM_01,2026-02-19
default,TR_3182_LAM_01,3182,2026-03-16,2026-03-19,lameness_protocol,EV_3182_LAM_01,2026-03-22
default,TR_3185_KET_01,3185,2026-04-19,2026-04-22,ketosis_protocol,EV_3185_KET_01,2026-04-19
default,TR_3187_MAST_01,3187,2025-11-12,2025-11-17,mastitis_protocol,EV_3187_MAST_01,2025-11-20
default,TR_3193_LAM_01,3193,2026-04-06,2026-04-09,lameness_protocol,EV_3193_LAM_01,2026-04-12
default,TR_3199_MAST_01,3199,2026-04-03,2026-04-08,mastitis_protocol,EV_3199_MAST_01,2026-04-11
default,TR_3210_MAST_01,3210,2025-12-01,2025-12-04,mastitis_protocol,EV_3210_MAST_01,2025-12-07
default,TR_3211_LAM_01,3211,2026-02-09,2026-02-12,lameness_protocol,EV_3211_LAM_01,2026-02-15
default,TR_3224_MAST_01,3224,2026-02-01,2026-02-04,mastitis_protocol,EV_3224_MAST_01,2026-02-07
default,TR_3240_MAST_01,3240,2026-01-26,2026-01-31,mastitis_protocol,EV_3240_MAST_01,2026-02-03
default,TR_3243_MAST_01,3243,2025-12-16,2025-12-19,mastitis_protocol,EV_3243_MAST_01,2025-12-22
default,TR_3246_MAST_01,3246,2026-03-05,2026-03-09,mastitis_protocol,EV_3246_MAST_01,2026-03-12
default,TR_3247_LAM_01,3247,2026-03-21,2026-03-24,lameness_protocol,EV_3247_LAM_01,2026-03-27
default,TR_3263_MAST_01,3263,2026-01-06,2026-01-11,mastitis_protocol,EV_3263_MAST_01,2026-01-14
default,TR_3264_MAST_01,3264,2026-01-16,2026-01-21,mastitis_protocol,EV_3264_MAST_01,2026-01-24
default,TR_3268_MAST_01,3268,2026-02-28,2026-03-03,mastitis_protocol,EV_3268_MAST_01,2026-03-06
default,TR_3273_KET_01,3273,2026-04-18,2026-04-21,ketosis_protocol,EV_3273_KET_01,2026-04-18
default,TR_3289_MAST_01,3289,2026-02-21,2026-02-26,mastitis_protocol,EV_3289_MAST_01,2026-03-01
default,TR_3300_MAST_01,3300,2026-03-17,2026-03-21,mastitis_protocol,EV_3300_MAST_01,2026-03-24
default,TR_3305_LAM_01,3305,2026-03-09,2026-03-12,lameness_protocol,EV_3305_LAM_01,2026-03-15
default,TR_3307_MAST_01,3307,2026-03-29,2026-04-03,mastitis_protocol,EV_3307_MAST_01,2026-04-06
default,TR_3309_MAST_01,3309,2026-04-09,2026-04-14,mastitis_protocol,EV_3309_MAST_01,2026-04-17
default,TR_3317_MAST_01,3317,2025-11-19,2025-11-23,mastitis_protocol,EV_3317_MAST_01,2025-11-26
default,TR_3318_LAM_01,3318,2025-11-18,2025-11-21,lameness_protocol,EV_3318_LAM_01,2025-11-24
default,TR_3327_LAM_01,3327,2025-11-13,2025-11-16,lameness_protocol,EV_3327_LAM_01,2025-11-19
default,TR_3328_MAST_01,3328,2026-03-13,2026-03-18,mastitis_protocol,EV_3328_MAST_01,2026-03-21
default,TR_3333_LAM_01,3333,2026-03-14,2026-03-17,lameness_protocol,EV_3333_LAM_01,2026-03-20
default,TR_3334_MAST_01,3334,2026-01-01,2026-01-05,mastitis_protocol,EV_3334_MAST_01,2026-01-08
default,TR_3346_LAM_01,3346,2026-03-03,2026-03-06,lameness_protocol,EV_3346_LAM_01,2026-03-09
default,TR_3347_MAST_01,3347,2025-12-14,2025-12-19,mastitis_protocol,EV_3347_MAST_01,2025-12-22
