tenant_id,record_id,animal_id,date,activity_count,rumination_min,lying_min,temperature_c
default,SD_001,A1001,2025-01-01,1200,480,620,38.6
default,SD_002,A1001,2025-01-02,1200,480,620,38.6
default,SD_003,A1001,2025-01-03,1200,480,620,38.6
default,SD_004,A1001,2025-01-04,1200,480,620,38.6
default,SD_005,A1001,2025-01-05,1200,480,620,38.6
default,SD_006,A1001,2025-01-06,1200,480,620,38.6
default,SD_007,A1001,2025-01-07,1200,480,620,38.6
default,SD_008,A1001,2025-01-08,1200,480,620,38.6
default,SD_009,A1001,2025-01-09,1200,480,620,38.6
default,SD_010,A1001,2025-01-10,1200,480,620,38.6
default,SD_011,A1001,2025-01-11,1200,480,620,38.6
default,SD_012,A1001,2025-01-12,1200,480,620,38.6
default,SD_013,A1001,2025-01-13,1200,480,620,38.6
default,SD_014,A1001,2025-01-14,1200,480,620,38.6
default,SD_015,A1001,2025-01-15,1200,480,620,38.6
default,SD_016,A1001,2025-01-16,1200,480,620,38.6
default,SD_017,A1001,2025-01-17,1200,480,620,38.6
default,SD_018,A1001,2025-01-18,1200,480,620,38.6
default,SD_019,A1001,2025-01-19,1200,480,620,38.6
default,SD_020,A1001,2025-01-20,1200,480,620,38.6
default,SD_021,A1001,2025-01-21,1200,480,620,38.6
default,SD_022,A1001,2025-01-22,1200,480,620,38.6
default,SD_023,A1001,2025-01-23,1200,480,620,38.6
default,SD_024,A1001,2025-01-24,850,350,620,38.6
default,SD_025,A1001,2025-01-25,850,350,620,38.6
default,SD_026,A1001,2025-01-26,850,350,620,38.6
default,SD_027,A1001,2025-01-27,850,350,620,38.6
default,SD_028,A1001,2025-01-28,850,350,620,38.6
default,SD_029,A1001,2025-01-29,850,350,620,40.8
default,SD_030,A1001,2025-01-30,850,350,620,41.0
